City,Country,Region,Category,Climate,Best_Month,Attractions,Cuisine_Name,Flavor_Profile,Hotel_Name,Star_Rating,Price_Per_Night,Amenities,Weather_Type,Average_Temperature,Budget_Range,Activities
Lima,Peru,Europe,city,Moderate,Spring,Lima Landmark 1; Lima Landmark 2; Parque Kennedy; Historic Centre; Miraflores,Ceviche,Savory,JW Marriott,4,203,Restaurant; Gym; Beach Access; Airport Shuttle; Pool; Parking; Bar,Rainy,11.6,$2009–$4384,spirituality; adventure; hiking
Oslo,Norway,Other,city,Cold,February,Oslo Landmark 2; Akershus Fortress; Oslo Landmark 1; Vigeland Park; Oslo Opera House,Fårikål,Savory,The Thief,4,163,Kids Club; Restaurant; Beach Access; Pool; Bar,Sunny,20.5,$537–$1173,shopping; historic tours
Kyoto,Japan,Southeast Asia,heritage,Moderate,Autumn,Kyoto Landmark 2; Fushimi Inari; Kyoto Landmark 1; Kinkaku-ji; Gion District,Kaiseki,Savory,The Ritz-Carlton Kyoto,3,220,Pool; Conference Rooms; Kids Club; Parking; Bar; Breakfast Included,Moderate,8.3,$726–$1584,spirituality; nightlife; food
Manali,India,South Asia,mountain,Cold,Monsoon,Manali Landmark 2; Hadimba Temple; Rohtang Pass; Manali Landmark 1; Solang Valley,Trout Fish,Savory,The Himalayan,4,50,Airport Shuttle; Conference Rooms; Beach Access; WiFi,Snowy,10.6,$275–$600,adventure
Pondicherry,India,South Asia,beach,Moderate,Autumn,Promenade Beach; Auroville; French Quarter; Pondicherry Landmark 2; Pondicherry Landmark 1,Seafood Thali,Savory,Palais de Mahe,4,117,Restaurant; Breakfast Included; Conference Rooms; Pet Friendly,Snowy,27.3,$1287–$2808,spirituality
Venice,Italy,Europe,heritage,Moderate,September,Venice Landmark 1; Grand Canal; Doge's Palace; St. Mark's Square; Venice Landmark 2,Sarde in Saor,Savory,Gritti Palace,5,257,Restaurant; Pet Friendly; Breakfast Included; Bar; Parking; WiFi,Windy,21.6,$1413–$3084,shopping
Bali (Ubud),Indonesia,Other,island,Hot,Winter,Tegalalang Rice Terrace; Monkey Forest; Ubud Rice Terraces; Bali (Ubud) Landmark 1; Bali (Ubud) Landmark 2,Bebek Betutu,Savory,Alila Ubud,4,169,Gym; Kids Club; Bar,Sunny,13.4,$1301–$2839,food; wildlife; historic tours
Goa,India,South Asia,beach,Hot,January,Anjuna Flea Market; Fort Aguada; Goa Landmark 2; Goa Landmark 1; Baga Beach,Goan Fish Curry,Spicy,Fortune Resort,4,83,Bar; WiFi; Pool; Airport Shuttle; Conference Rooms; Beach Access,Sunny,25.7,$456–$996,food; historic tours; water-sports
Rio de Janeiro,Brazil,Africa,beach,Hot,June,Copacabana; Christ the Redeemer; Sugarloaf Mountain; Rio de Janeiro Landmark 2; Rio de Janeiro Landmark 1,Feijoada,Savory,Hotel Fasano,4,144,Restaurant; Pool; Spa,Windy,27.1,$950–$2073,water-sports; shopping; food; historic tours
Fiji,Fiji,South Asia,island,Hot,Summer,Coral Coast; Garden of the Sleeping Giant; Mamanuca Islands; Fiji Landmark 1; Fiji Landmark 2,Kokoda,Savory,Jean-Michel Cousteau,4,302,Spa; Beach Access; Kids Club; Gym; Bar,Humid,32.3,$1328–$2899,historic tours; water-sports; shopping
Banff,Canada,North America,mountain,Cold,February,Banff Landmark 1; Lake Louise; Moraine Lake; Banff Landmark 2; Banff Gondola,Canadian Pancakes,Sweet,Moose Hotel,4,178,Kids Club; Pet Friendly; WiFi; Beach Access,Sunny,8.6,$1762–$3844,water-sports; relaxation
Mumbai,India,South Asia,city,Hot,January,Gateway of India; Mumbai Landmark 1; Marine Drive; Elephanta Caves; Mumbai Landmark 2,Vada Pav,Spicy,The St. Regis,4,91,Pet Friendly; Bar; Kids Club; WiFi; Airport Shuttle; Gym,Sunny,33.6,$600–$1310,shopping; relaxation
Buenos Aires,Argentina,South America,city,Moderate,February,Buenos Aires Landmark 2; Buenos Aires Landmark 1; La Boca; Recoleta; Plaza de Mayo,Asado,Savory,Faena Hotel,4,141,Gym; Conference Rooms; Parking,Sunny,19.7,$775–$1692,historic tours; water-sports; nightlife
Helsinki,Finland,Southeast Asia,city,Cold,Winter,Helsinki Cathedral; Market Square; Helsinki Landmark 2; Suomenlinna; Helsinki Landmark 1,Salmiakki,Savory,Hilton Helsinki,5,139,Pool; Spa; Beach Access; Airport Shuttle; Conference Rooms; Gym,Cold,-0.1,$764–$1668,culture
Santiago,Chile,Europe,city,Moderate,June,Santiago Landmark 1; Plaza de Armas; The Andes; Cerro San Cristobal; Santiago Landmark 2,Empanadas,Savory,The Ritz-Carlton Santiago,3,155,Parking; WiFi; Pool; Restaurant; Pet Friendly; Beach Access,Snowy,17.2,$852–$1860,hiking; photography
Cape Town,South Africa,Africa,city,Moderate,Spring,Robben Island; Table Mountain; Cape Town Landmark 1; Cape Town Landmark 2; V&A Waterfront,Bobotie,Savory,One&Only Cape Town,4,181,Breakfast Included; Restaurant; Conference Rooms; Airport Shuttle; Spa; Pool,Snowy,19.0,$1791–$3909,photography; adventure; culture; shopping
Jaipur,India,South Asia,heritage,Hot,Summer,Hawa Mahal; Amber Fort; Jaipur Landmark 1; Jaipur Landmark 2; City Palace,Dal Baati Churma,Savory,ITC Rajputana,4,200,Bar; Kids Club; Beach Access,Sunny,28.5,$880–$1920,food; adventure; culture
Phuket,Thailand,Southeast Asia,beach,Hot,December,Phuket Landmark 1; Phuket Landmark 2; Big Buddha; Patong Beach; Phi Phi Islands,Tom Yum Goong,Spicy,Anantara Mai Khao,3,216,Breakfast Included; Airport Shuttle; Parking; Kids Club; Bar; Pool; Pet Friendly,Snowy,33.9,$1425–$3110,culture; water-sports
Goa,India,South Asia,beach,Hot,November,Goa Landmark 1; Anjuna Flea Market; Baga Beach; Fort Aguada; Goa Landmark 2,Goan Fish Curry,Spicy,Alila Diwa,4,59,Gym; Pet Friendly; Kids Club; Spa,Sunny,33.2,$324–$708,hiking
Mumbai,India,South Asia,city,Hot,December,Elephanta Caves; Gateway of India; Mumbai Landmark 2; Marine Drive; Mumbai Landmark 1,Vada Pav,Spicy,Trident,4,168,Airport Shuttle; Parking; Conference Rooms; Kids Club; Breakfast Included,Windy,33.8,$1293–$2822,shopping; culture; spirituality; food
Banff,Canada,North America,mountain,Cold,January,Banff Landmark 1; Lake Louise; Moraine Lake; Banff Landmark 2; Banff Gondola,Canadian Pancakes,Sweet,Fairmont Banff Springs,4,153,Pet Friendly; Restaurant; Airport Shuttle; Beach Access; Parking; Conference Rooms; Breakfast Included,Rainy,-4.9,$841–$1836,adventure; shopping; relaxation; spirituality
Los Angeles,USA,North America,city,Hot,May,Santa Monica Pier; Griffith Observatory; Los Angeles Landmark 2; Los Angeles Landmark 1; Hollywood,In-N-Out Burger,Savory,The Beverly Hills Hotel,5,262,Beach Access; Breakfast Included; Conference Rooms; Gym,Rainy,15.6,$1441–$3144,shopping; spirituality; relaxation
Cape Town,South Africa,Africa,city,Moderate,November,Cape Town Landmark 2; Cape Town Landmark 1; Table Mountain; Robben Island; V&A Waterfront,Bobotie,Savory,The Silo Hotel,4,176,Pet Friendly; Spa; Airport Shuttle; Pool; Gym; Parking; Kids Club,Windy,19.6,$1742–$3801,spirituality; historic tours; water-sports
Shimla,India,South Asia,mountain,Cold,Winter,Mall Road; Shimla Landmark 2; Christ Church; Jakhoo Temple; Shimla Landmark 1,Channa Madra,Savory,Hotel Willow Banks Shimla,4,98,Pet Friendly; Conference Rooms; Kids Club,Snowy,26.4,$970–$2116,spirituality; water-sports; historic tours; hiking
Melbourne,Australia,Oceania,city,Moderate,April,Melbourne Landmark 2; Federation Square; Great Ocean Road; Royal Botanic Gardens; Melbourne Landmark 1,Flat White,Savory,Crown Towers,3,239,Beach Access; Airport Shuttle; Kids Club; WiFi,Rainy,17.7,$1840–$4015,wildlife
Cusco,Peru,South America,heritage,Cold,June,Cusco Landmark 1; Cusco Landmark 2; Machu Picchu; Sacsayhuamán; Plaza de Armas,Cuy,Savory,JW Marriott,4,192,WiFi; Spa; Gym; Bar; Airport Shuttle; Breakfast Included,Humid,5.4,$633–$1382,adventure
Agra,India,South Asia,heritage,Hot,November,Taj Mahal; Mehtab Bagh; Agra Landmark 2; Agra Landmark 1; Agra Fort,Petha,Sweet,Trident Agra,5,86,WiFi; Pool; Spa; Beach Access; Breakfast Included,Humid,29.8,$851–$1857,nightlife; spirituality
Toronto,Canada,North America,city,Moderate,June,Toronto Islands; Royal Ontario Museum; CN Tower; Toronto Landmark 2; Toronto Landmark 1,Peameal Bacon Sandwich,Savory,The St. Regis Toronto,4,178,Gym; Kids Club; Conference Rooms; Parking; Pet Friendly; Bar; Pool,Windy,3.0,$1958–$4272,skiing; nightlife; spirituality
Rome,Italy,Europe,heritage,Moderate,May,Vatican City; Trevi Fountain; Colosseum; Rome Landmark 1; Rome Landmark 2,Carbonara,Savory,Rome Cavalieri,5,323,Parking; Spa; Airport Shuttle; Kids Club,Sunny,24.6,$1421–$3100,nightlife; spirituality; relaxation
